District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
02,3,2024,Asian,569,476,13,2.3,59,10.4,219,38.5,278,48.9,497,87.3
02,3,2024,Black,105,445,18,17.1,39,37.1,39,37.1,9,8.6,48,45.7
02,3,2024,Hispanic,407,450,80,19.7,119,29.2,141,34.6,67,16.5,208,51.1
02,3,2024,Multi-Racial,159,479,1,0.6,17,10.7,58,36.5,83,52.2,141,88.7
02,3,2024,Native American,9,467,1,11.1,2,22.2,1,11.1,5,55.6,6,66.7
02,3,2024,White,883,474,19,2.2,99,11.2,415,47.0,350,39.6,765,86.6
02,4,2024,Asian,551,489,10,1.8,25,4.5,145,26.3,371,67.3,516,93.6
02,4,2024,Black,133,443,45,33.8,37,27.8,40,30.1,11,8.3,51,38.3
02,4,2024,Hispanic,389,455,101,26.0,67,17.2,128,32.9,93,23.9,221,56.8
02,4,2024,Multi-Racial,193,485,5,2.6,15,7.8,57,29.5,116,60.1,173,89.6
02,4,2024,Native American,7,471,2,28.6,0,0.0,2,28.6,3,42.9,5,71.4
02,4,2024,White,811,483,21,2.6,51,6.3,300,37.0,439,54.1,739,91.1
